r,Aij=10 L=50,Aij=10 L=50 err,Aij=25 L=50,Aij=25 L=50 err,Aij=50 L=50,Aij=50 L=50 err,Aij=10 L=30,Aij=10 L=30 err,Aij=25 L=30,Aij=25 L=30 err,Aij=50 L=30,Aij=50 L=30 err,Aij=10 L=10,Aij=10 L=10 err,Aij=25 L=10,Aij=25 L=10 err,Aij=50 L=10,Aij=50 L=10 err
0,10.230116,0.000792288,19.092432,0.0179798,25.387766,0.0661429,10.231411,0.0017024,19.120501,0.0249567,27.522051,0.0684109,10.230349,0.0084787,18.6542,0.3731,28.205524,0.110491
0.2,10.360599,0.000728722,19.623661,0.0173445,26.653858,0.0647492,10.360507,0.00158008,19.709478,0.0235374,27.915277,0.07091,10.372746,0.009683,19.9492,0.152186,28.35251,0.107215
0.4,10.676696,0.000624499,20.90303,0.0166766,30.814167,0.0590233,10.676531,0.00135036,21.026333,0.0214762,31.011915,0.0649014,10.678049,0.008112,21.357075,0.121265,31.515955,0.0978573
0.6,11.015976,0.000467116,22.499218,0.0137667,34.232769,0.0541129,11.014778,0.00110896,22.39476,0.0208242,32.774071,0.0625487,11.014091,0.006001,22.140379,0.271265,35.197117,0.090817
0.8,11.242814,0.00040251,23.705347,0.0113782,37.320457,0.0513598,11.241876,0.000851396,23.718807,0.016745,36.005802,0.0597905,11.247673,0.004854,23.977707,0.0310221,38.821255,0.0814012
1,11.33238,0.000360414,24.235876,0.0107047,39.035477,0.0469017,11.331454,0.000793378,24.224451,0.0155111,39.366653,0.0538035,11.3383,0.00436,24.05928,0.0322819,40.722534,0.0828151
2,11.33591,0.000447861,24.325499,0.0097623,38.19136,0.0438021,11.336203,0.000941182,24.318724,0.01426,39.62426,0.0562477,11.337528,0.005211,24.393017,0.0301822,39.764111,0.0843057
3,11.335968,0.000362611,24.307217,0.00929841,38.79887,0.0489586,11.334922,0.000766211,24.350998,0.0135178,38.716839,0.056524,11.337385,0.00432153,24.323816,0.0297195,40.59325,0.0815527
4,11.335407,0.000430624,24.309557,0.00971235,39.162731,0.0445428,11.336236,0.000946048,24.235373,0.0162388,39.405754,0.0537496,11.344939,0.00470208,24.349186,0.0299398,39.037247,0.0798087
5,11.336019,0.000360365,24.286764,0.010248,38.439171,0.0491723,11.335131,0.000787,24.332541,0.0141848,39.234478,0.0540772,11.336388,0.004459,24.365265,0.0291922,40.648857,0.0789684
