# excess chemical potential data digitized from fig 1 of
# Hendrikse et al. PCCP 27, 1554-66 (2025).
# Columns are A_01[1], mu_ex[2]
 10, 5.673207463554228
 15, 8.084519216039427
 20, 10.240702574325494
 25, 12.16164530730298
 30, 13.866930832670398
 35, 15.377917482951792
 40, 16.715301155058786
 45, 17.939494807639896
 50, 19.017291774554675
 55, 19.918238902584278
 60, 20.71659922407559
 65, 21.70554819132258
 70, 22.347696843271905
 75, 23.19636597253785
 80, 23.884329037071584
 85, 24.38472149488269
 90, 24.891012976823973
 95, 25.626834790229204
100, 26.40481300642214
